uniq,SUBJID,1_17634547_17634563,1_9756480_9756511,10_110132304_110132401,10_7806973_7807011,10_84499874_84499960,10_95414493_95414863,11_57791384_57791674,12_121244572_121244616,14_103498501_103498529,17_17180606_17180670,19_10921374_10921444,19_7905807_7905856,2_46958494_46958553,22_29531077_29531111,7_134935687_134935766,9_128609650_128609666,9_2651414_2651499,X_31126641_31126674
GTEX-11DXX-0005-SM-5NQ8B,GTEX-11DXX,0.5,0.0,0.6972111553784861,0.9507389162561576,0.0,1.0,1.0,0.005780346820809248,0.004672897196261682,0.045454545454545456,0.6097560975609756,0.07692307692307693,0.061224489795918366,0.09236947791164658,,0.20833333333333334,0.0,
GTEX-11DXX-0008-SM-5Q5B8,GTEX-11DXX,0.7804878048780488,0.47085201793721976,0.018292682926829267,0.6289592760180995,0.44680851063829785,1.0,0.6962025316455697,0.4845360824742268,0.6846473029045643,0.8878248974008208,0.14893617021276595,0.8666666666666667,0.375,0.4405594405594406,0.03210349784379492,0.003861003861003861,0.6888888888888889,0.42857142857142855
GTEX-11DXX-0126-SM-5EGH7,GTEX-11DXX,0.5789473684210527,0.0593607305936073,0.28,0.9650937297996122,0.3333333333333333,0.68,0.9402985074626866,0.07317073170731707,0.3377049180327869,0.5202020202020202,0.2967032967032967,0.3333333333333333,0.2978723404255319,0.14583333333333334,0.08314606741573034,0.3333333333333333,0.1891891891891892,0.2
GTEX-11DXX-0226-SM-5P9HL,GTEX-11DXX,0.7972350230414746,0.36666666666666664,0.37341772151898733,0.8470800722456352,0.2631578947368421,0.8873239436619719,0.45390070921985815,0.2857142857142857,0.35347432024169184,0.6195965417867435,0.2237442922374429,0.4,0.31092436974789917,0.5454545454545454,0.4359925788497217,0.2721311475409836,0.1079136690647482,0.4146341463414634
GTEX-11DXX-0326-SM-5PNWC,GTEX-11DXX,0.22994652406417113,0.7313432835820896,0.012048192771084338,0.022306855277475515,0.9789473684210527,0.9681093394077449,0.9285714285714286,0.3333333333333333,0.9476861167002012,0.9903961584633854,0.7868852459016393,0.8928571428571429,0.7777777777777778,0.918918918918919,0.5255255255255256,0.4122448979591837,0.9755102040816327,0.9310344827586207
GTEX-11DXX-0426-SM-5EQ5F,GTEX-11DXX,0.8922413793103449,0.7446808510638298,0.022222222222222223,0.39923954372623577,0.6285714285714286,0.9476268412438625,0.8901098901098901,0.7843137254901961,0.856,0.9828877005347594,0.1728395061728395,0.7543859649122807,0.7872340425531915,0.9253731343283582,0.8885869565217391,0.11688311688311688,0.6039603960396039,0.5166666666666667
GTEX-11DXX-0526-SM-5PNVR,GTEX-11DXX,0.24528301886792453,0.788235294117647,0.018633540372670808,0.057129586623316304,0.908256880733945,0.9428571428571428,0.8395061728395061,0.35,0.9235668789808917,0.9656538969616909,0.671875,0.8431372549019608,0.7,0.8390804597701149,0.618018018018018,0.34763948497854075,0.8807339449541285,0.7475728155339806
GTEX-11DXX-0626-SM-5Q5AG,GTEX-11DXX,0.6981132075471698,0.5164835164835165,0.28846153846153844,0.7650429799426934,0.3611111111111111,0.7931034482758621,0.7291666666666666,0.30120481927710846,0.4884910485933504,0.771978021978022,0.17037037037037037,0.4666666666666667,0.2647058823529412,0.5056179775280899,0.23809523809523808,0.2762237762237762,0.4,0.7910447761194029
GTEX-11DXX-0726-SM-5H12X,GTEX-11DXX,0.5151515151515151,0.022222222222222223,0.8674698795180723,0.9440559440559441,0.043478260869565216,0.16666666666666666,0.972972972972973,0.05970149253731343,0.2722371967654987,0.224105461393597,0.2976190476190476,0.3,0.2602739726027397,0.3,0.20430107526881722,0.26573426573426573,1.0,0.0
GTEX-11DXX-0826-SM-5GZZP,GTEX-11DXX,0.8406015037593985,0.6941176470588235,0.01680672268907563,0.5031847133757962,0.7831325301204819,0.9088372093023256,0.9,0.7454545454545455,0.8631921824104235,0.9715976331360947,0.11297071129707113,0.9230769230769231,0.6986301369863014,0.9187817258883249,0.7991058122205663,0.22291021671826625,0.36,0.6902654867256637
